response_id,timestamp,user_type,age_range,income_range,subscription_plan,uses_fintrack_mobile,mobile_satisfaction,wants_improved_mobile_app,mobile_importance,primary_mobile_use_case,feature_most_used,biggest_pain_point,would_pay_more_for_ai,competitor_also_used,additional_comments
147,2024-10-22 10:30:26,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,I want FinTrack to feel like a premium mobile app not a mobile website. Right now it feels like the latter.
148,2024-10-22 13:53:02,family,30-39,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
149,2024-10-23 07:15:38,young_professional,30-39,$100k-$150k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Mobile UX is slow,Yes,Copilot,
150,2024-10-23 09:38:14,debt_payoff,30-39,$50k-$100k,monthly,Yes,3,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Maybe,None,
151,2024-10-23 12:00:50,freelancer,30-39,$50k-$100k,annual,Yes,2,Yes,High,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,Would love the ability to log income at irregular intervals and have the app project my monthly total.
152,2024-10-24 08:23:26,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,None,
153,2024-10-24 10:46:02,family,40-49,$100k-$150k,annual,Yes,3,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,
154,2024-10-24 13:08:38,investor,50+,$150k+,annual,Yes,3,Maybe,Low,View net worth,Net Worth Tracker,No investment tracking,Maybe,Empower,
155,2024-10-25 08:31:14,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,The AI review feature is my favorite part of FinTrack. I look forward to my weekly spending summary.
156,2024-10-25 10:53:50,debt_payoff,22-29,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,
157,2024-10-25 14:16:26,family,30-39,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,Monarch Money,
158,2024-10-26 07:39:02,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,Critical,Check spending,Bank Sync,Mobile UX is slow,Yes,None,
159,2024-10-26 10:01:38,debt_payoff,30-39,$50k-$100k,monthly,Yes,3,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Yes,None,My student loan servicer keeps dropping from sync. Support told me it's a known issue but there's no ETA.
160,2024-10-26 13:24:14,young_professional,30-39,$100k-$150k,annual,Yes,4,No,High,Check spending,Bank Sync,Mobile UX is slow,Yes,None,
161,2024-10-27 07:46:50,family,40-49,$100k-$150k,annual,Yes,3,Maybe,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,
162,2024-10-27 10:09:26,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,
163,2024-10-27 13:32:02,investor,40-49,$150k+,annual,Yes,2,Yes,Medium,View net worth,Net Worth Tracker,No investment tracking,Yes,Empower,The gap between FinTrack and a proper investment tracking tool is huge. I hope you bridge it soon.
164,2024-10-28 08:54:38,debt_payoff,22-29,Under $50k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,
165,2024-10-28 11:17:14,family,30-39,$100k-$150k,annual,Yes,3,Yes,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
166,2024-10-28 14:39:50,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,Copilot,
167,2024-10-29 07:02:26,freelancer,22-29,$50k-$100k,monthly,Yes,3,Yes,High,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,I've been freelancing for two years and have never found a budget app that truly works for variable income.
168,2024-10-29 09:25:02,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,Bank Sync,Mobile UX is slow,Yes,None,
169,2024-10-29 11:47:38,debt_payoff,30-39,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Maybe,None,
170,2024-10-30 07:10:14,family,40-49,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,The app has gotten better over the past year but mobile is still lagging behind the web version by a lot.
171,2024-10-30 09:32:50,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,
172,2024-10-30 11:55:26,investor,40-49,$150k+,annual,Yes,3,Maybe,Medium,View net worth,Net Worth Tracker,No investment tracking,Maybe,Empower,
173,2024-10-31 08:18:02,debt_payoff,22-29,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Yes,None,I'm on a 36-month debt payoff plan. I need a tool that tracks progress automatically without me having to rebuild it every month.
174,2024-10-31 10:40:38,young_professional,30-39,$100k-$150k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Mobile UX is slow,Yes,None,
175,2024-10-31 13:03:14,family,30-39,$100k-$150k,annual,Yes,3,Maybe,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
176,2024-11-01 07:25:50,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,Critical,Check spending,Bank Sync,Bank sync breaks,Yes,None,
177,2024-11-01 09:48:26,debt_payoff,30-39,$50k-$100k,monthly,Yes,3,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Maybe,None,
178,2024-11-01 12:11:02,family,40-49,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,Monarch Money,Monarch Money is starting to look more attractive every time a bill alert fails to fire on FinTrack.
179,2024-11-02 07:33:38,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,
180,2024-11-02 09:56:14,investor,50+,$150k+,annual,Yes,2,Yes,Low,View net worth,Net Worth Tracker,No investment tracking,No,Empower,
181,2024-11-02 12:18:50,debt_payoff,22-29,Under $50k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,
182,2024-11-03 07:41:26,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,None,I work in tech so I know these things take time but bank sync reliability has to be the top priority.
183,2024-11-03 10:04:02,family,30-39,$100k-$150k,annual,Yes,3,Maybe,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
184,2024-11-04 07:26:38,debt_payoff,30-39,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Yes,YNAB,
185,2024-11-04 09:49:14,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,AI Categorization,Mobile UX is slow,Yes,None,
186,2024-11-04 12:11:50,family,40-49,$100k-$150k,annual,Yes,3,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,
187,2024-11-05 07:34:26,young_professional,30-39,$100k-$150k,annual,Yes,4,No,High,Check spending,Bank Sync,Mobile UX is slow,Yes,None,
188,2024-11-05 09:57:02,investor,40-49,$150k+,annual,Yes,3,Maybe,Medium,View net worth,Net Worth Tracker,No investment tracking,Maybe,Empower,
189,2024-11-05 12:19:38,debt_payoff,22-29,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,Every time I show someone FinTrack they get confused by the budget setup. It really needs a guided onboarding flow.
190,2024-11-06 08:42:14,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,None,
191,2024-11-06 11:04:50,family,30-39,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
192,2024-11-07 07:27:26,freelancer,30-39,$100k-$150k,annual,Yes,3,Yes,High,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,A dedicated freelancer mode would probably make me recommend FinTrack to my entire network. Huge opportunity.
193,2024-11-07 09:50:02,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,
194,2024-11-08 08:12:38,debt_payoff,30-39,$50k-$100k,monthly,Yes,3,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Maybe,None,
195,2024-11-08 10:35:14,family,40-49,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,My kids are getting older and starting to spend money independently. Need a way to track their spending too.
196,2024-11-09 07:57:50,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Mobile UX is slow,Yes,Copilot,
197,2024-11-09 10:20:26,debt_payoff,22-29,Under $50k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Yes,None,I tell everyone that FinTrack is worth it but only once they get past the setup. That first week is brutal.
198,2024-11-09 13:43:02,family,30-39,$100k-$150k,annual,Yes,3,Maybe,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
199,2024-11-10 07:05:38,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,Critical,Check spending,Bank Sync,Bank sync breaks,Yes,None,Built this into my morning routine but bank sync failures mean I can't trust the data about a third of the time.
200,2024-11-10 09:28:14,young_professional,30-39,$100k-$150k,annual,Yes,4,No,High,Check spending,AI Categorization,AI miscategorization,Yes,None,Overall FinTrack is my go-to budgeting app. A better mobile experience and I'd recommend it to everyone without hesitation.
